FeatureIndex_1,FeatureIndex_2,FeatureIndex_3,FeatureIndex_4,FeatureIndex_5,FeatureIndex_6,FeatureIndex_7,FeatureIndex_8,FeatureIndex_9,FeatureIndex_10,FeatureIndex_11,FeatureIndex_12,FeatureIndex_13,FeatureIndex_14,FeatureIndex_15,FeatureIndex_16,FeatureIndex_17,FeatureIndex_18,FeatureIndex_19,FeatureIndex_20,FeatureIndex_21,FeatureIndex_22,FeatureIndex_23,FeatureIndex_24,FeatureIndex_25,FeatureIndex_26,FeatureIndex_27,FeatureIndex_28,FeatureIndex_29,FeatureIndex_30,FeatureIndex_31,FeatureIndex_32,FeatureIndex_33,FeatureIndex_34,FeatureIndex_35,FeatureIndex_36,FeatureIndex_37,FeatureIndex_38,FeatureIndex_39,FeatureIndex_40,FeatureIndex_41,FeatureIndex_42,FeatureIndex_43,FeatureIndex_44,FeatureIndex_45,FeatureIndex_46,FeatureIndex_47,FeatureIndex_48,FeatureIndex_49,FeatureIndex_50,FeatureIndex_51,FeatureIndex_52,FeatureIndex_53,FeatureIndex_54,FeatureIndex_55,FeatureIndex_56,FeatureIndex_57,FeatureIndex_58,FeatureIndex_59,FeatureIndex_60,FeatureIndex_61,FeatureIndex_62,FeatureIndex_63,FeatureIndex_64,TransientName
14,20,21,18,12,21,12,14,18,20,21,11,23,3,20,20,14,21,13,3,18,11,14,21,23,3,18,21,7,1,13,23,21,20,14,3,21,10,14,3,13,13,11,11,3,12,14,3,13,14,14,13,21,23,18,21,18,20,13,13,23,14,21,18,CSS161106:231233+092930
23,12,18,14,18,13,21,13,16,1,21,21,5,21,11,13,20,21,1,2,23,14,21,11,12,20,23,22,22,10,1,17,20,20,3,10,7,18,18,20,18,18,2,11,3,23,14,13,18,23,14,12,13,21,14,5,11,13,20,18,3,12,20,21,SDSS-IISN6086
0,6,6,6,8,6,6,8,6,6,6,6,9,6,11,6,0,6,0,1,1,6,0,6,10,10,10,4,4,10,10,21,17,4,4,22,4,4,7,7,0,15,12,18,3,1,0,0,0,6,6,8,9,6,6,0,8,6,0,6,6,8,6,0,SN2018ero
9,9,6,6,9,9,9,9,0,1,20,13,20,5,19,6,13,21,17,21,10,13,3,0,3,10,7,4,4,22,10,1,0,14,21,4,4,10,10,21,6,15,20,3,14,21,21,1,0,1,0,5,1,0,1,6,9,9,6,9,9,6,0,6,SN2019dke
21,18,21,12,21,12,16,17,21,21,20,17,21,12,12,16,21,12,21,21,5,21,16,17,18,12,16,7,10,20,16,12,10,18,18,18,7,17,20,21,12,21,21,18,18,12,10,18,12,21,21,12,23,21,18,17,12,21,12,12,16,18,21,10,SN2007ca
19,0,0,0,0,0,0,19,0,0,1,5,19,15,15,0,0,5,3,1,7,23,15,19,19,3,19,4,4,13,20,0,0,20,23,10,4,19,3,5,19,19,18,10,3,20,1,0,15,0,0,0,19,19,19,19,19,0,19,0,0,19,0,19,SN2009mr
3,11,3,11,18,3,11,11,13,11,18,3,11,2,10,18,11,18,5,21,10,20,21,5,3,20,18,22,22,21,19,20,18,20,18,10,4,18,20,20,5,3,20,13,14,2,11,20,14,20,18,11,5,1,3,3,20,11,1,20,12,20,13,11,DES16X3hj
12,23,20,20,14,18,20,18,20,18,3,11,20,5,11,3,23,11,20,2,12,1,22,10,20,20,0,22,4,3,10,7,3,13,3,18,4,5,11,23,18,3,3,11,20,20,3,3,3,11,11,20,20,11,12,3,18,20,13,18,11,3,20,18,SDSS-IISN17882
17,16,21,16,10,12,14,10,12,12,21,18,20,18,16,10,12,18,12,14,20,18,21,18,21,13,12,10,10,14,21,12,21,18,21,17,17,23,13,17,16,17,14,11,12,12,13,18,12,11,21,12,20,12,12,12,21,18,12,14,13,10,21,18,SN2009ni
19,12,12,19,2,11,19,11,5,11,18,1,15,5,11,20,2,18,7,7,13,1,19,23,11,5,7,4,4,12,1,19,11,1,5,4,4,4,20,11,3,5,1,15,7,10,12,5,11,14,11,11,19,5,12,11,20,5,11,1,5,11,5,2,SN2017frw
0,6,6,6,6,8,9,6,0,0,1,21,17,17,12,20,11,21,4,4,17,4,20,20,20,7,7,4,4,12,12,15,6,20,12,10,4,7,7,13,13,5,17,17,7,4,10,5,1,20,20,12,12,5,19,0,9,6,6,6,6,9,9,8,PTF09hdo
19,17,17,7,11,19,0,19,0,11,10,7,17,19,0,0,19,11,10,7,7,5,0,19,19,5,18,4,4,12,19,19,19,19,11,17,4,7,18,8,19,0,5,18,7,7,18,19,19,19,15,20,10,7,17,19,11,19,19,5,20,10,17,5,SN2014bo
6,6,6,0,9,6,6,6,6,6,6,6,6,0,6,6,6,6,0,0,3,0,0,6,6,6,1,4,4,13,0,6,6,0,0,3,4,1,0,9,6,6,8,22,10,6,6,6,6,6,6,8,8,6,9,6,6,6,6,9,9,9,6,6,SN2020aro
23,18,18,23,14,21,3,18,23,14,14,3,18,11,14,18,18,11,18,3,18,18,12,14,14,14,2,7,4,7,14,21,14,20,17,4,7,11,18,23,13,12,20,20,18,14,14,11,13,21,14,23,11,3,23,14,18,18,20,23,21,13,18,13,SN2017gxc
5,20,11,20,11,20,20,5,11,5,1,5,5,11,5,20,20,5,19,20,20,5,5,5,11,20,18,4,4,20,5,20,11,5,11,21,4,20,5,5,3,5,3,2,11,20,1,20,20,5,1,2,20,5,5,5,5,20,20,20,20,20,3,20,SN2006jn
6,15,9,6,0,6,0,6,15,15,15,0,15,15,15,0,9,15,15,9,6,9,15,9,6,15,9,17,4,6,15,6,6,15,6,0,7,9,15,6,15,15,9,9,0,6,15,9,6,15,15,6,15,9,15,6,0,15,15,0,0,15,15,0,SDSS-IISN20169
13,21,20,14,14,3,21,13,23,3,14,13,3,23,21,3,13,3,18,15,18,12,14,11,14,14,2,7,4,10,3,13,18,13,20,4,7,3,20,23,18,13,16,11,18,23,23,14,21,18,11,12,14,11,18,20,18,18,14,16,18,21,23,12,SN2018fcd
8,3,8,23,10,7,7,8,8,7,0,14,4,13,19,2,19,17,0,10,10,16,22,2,2,14,1,4,4,21,10,2,19,18,3,22,4,21,19,23,8,18,13,7,7,23,14,1,8,21,5,7,7,1,23,8,20,7,21,7,10,0,19,2,SN2006iu
6,6,8,2,11,5,20,19,8,3,20,13,21,10,10,10,11,14,21,21,16,11,10,10,14,10,21,10,22,18,10,10,16,21,21,16,7,17,14,19,23,10,14,21,3,18,3,1,1,10,21,21,18,21,1,8,0,1,19,0,8,8,9,6,SN2017iuk
12,20,5,19,19,5,20,20,20,12,18,13,20,5,0,18,19,12,21,7,10,11,11,6,19,12,21,4,4,21,17,11,6,12,17,4,4,7,12,18,2,15,17,18,10,10,23,14,0,5,20,1,18,18,2,14,19,19,19,20,2,11,2,11,SN2008gf
5,18,3,3,11,23,1,14,12,13,14,23,23,4,23,13,1,20,11,21,1,18,3,13,18,3,18,4,4,1,23,1,13,3,11,7,4,18,20,21,20,23,11,5,20,12,3,12,3,23,14,13,12,12,20,1,13,20,7,21,1,21,17,12,PSc040163
9,6,11,19,19,6,9,6,1,20,20,12,12,18,19,6,5,11,18,12,18,18,18,19,15,18,7,4,4,17,20,5,3,12,21,7,4,21,18,18,19,12,18,18,17,20,12,1,6,11,12,18,11,11,11,0,6,6,0,19,19,19,6,6,ASASSN-14bf
14,21,22,22,22,22,22,10,18,16,16,14,21,10,23,21,3,23,14,1,13,3,14,11,11,18,19,4,4,1,13,11,3,13,5,7,17,1,14,23,12,23,3,2,1,23,3,23,12,20,5,14,20,20,11,23,3,3,14,19,13,20,20,3,SDSS-IISN12865
3,13,11,20,18,23,18,13,13,18,18,14,14,13,20,3,11,21,20,20,14,3,21,13,14,13,17,7,4,10,20,13,12,3,12,17,17,12,21,23,14,14,23,11,13,20,12,14,23,18,14,1,14,21,13,11,11,14,3,13,18,11,18,21,CSS150128:151522+170037
8,8,8,8,8,8,6,8,8,6,6,6,6,6,9,8,8,6,6,6,6,6,6,8,8,6,6,4,4,6,6,8,8,6,6,2,10,6,6,8,8,6,8,6,6,8,6,8,8,6,6,6,6,8,6,8,8,6,8,6,6,6,6,8,SN2019pzt
18,18,13,23,20,11,21,14,14,11,21,23,14,12,12,13,1,14,23,20,10,12,14,23,3,13,20,21,7,18,18,3,21,13,18,21,12,11,20,13,13,18,21,5,1,14,23,3,18,13,1,21,4,11,23,23,14,23,5,17,4,18,3,3,CSS130217:101310-163154
0,0,1,20,7,1,6,2,8,0,1,1,7,18,8,8,8,1,0,10,7,1,0,8,1,8,19,4,4,3,0,2,19,6,1,7,4,1,0,8,8,8,1,7,10,1,1,8,0,8,19,10,3,1,6,8,8,2,6,3,3,19,18,1,SN2020hr
3,13,13,20,13,3,11,17,12,14,14,21,13,23,14,13,13,3,23,19,11,12,13,11,20,14,20,10,10,3,23,21,12,21,21,23,21,19,16,5,13,13,20,18,11,18,22,10,18,20,14,11,3,5,14,3,20,13,13,13,18,12,12,21,ESSENCEf123
13,13,14,1,20,14,2,18,3,20,12,3,14,21,21,14,21,18,20,1,18,2,3,23,3,14,1,22,22,18,18,3,14,3,23,10,4,18,3,12,18,12,20,14,16,11,13,17,11,18,16,13,11,14,18,3,14,13,21,13,13,13,14,18,SNLS-06D3cn
20,5,5,11,5,20,5,20,5,5,5,19,5,5,5,20,20,5,15,23,3,19,5,5,5,5,11,22,22,1,5,20,11,19,5,21,4,11,19,20,5,11,19,11,11,11,5,5,18,19,19,5,15,5,15,20,20,20,12,5,20,20,5,20,PSc140177
13,1,18,21,10,13,23,11,11,13,18,13,13,13,23,21,1,1,18,7,4,13,1,23,21,1,20,7,22,13,2,14,18,11,11,4,22,22,14,18,2,23,5,17,4,20,1,2,18,18,18,12,21,23,16,14,23,13,11,18,13,21,3,14,SNF20080919-001
18,18,18,11,11,12,14,14,20,18,11,18,20,18,3,20,16,3,20,13,13,13,21,21,20,14,23,22,22,13,13,11,18,20,23,14,22,5,3,14,20,3,13,23,14,13,21,21,23,23,13,18,21,3,18,23,20,13,20,14,11,21,13,21,PSc130490
9,9,5,15,9,9,6,0,0,15,0,15,1,20,13,3,0,3,5,17,10,10,12,13,5,10,7,4,4,7,11,12,13,21,18,10,4,23,11,20,1,11,23,23,2,0,3,6,1,1,2,8,8,9,1,6,0,6,9,9,9,6,6,9,SN1992az
20,21,18,13,21,12,13,3,14,13,11,13,3,20,13,12,18,13,23,23,18,14,18,3,12,3,23,7,22,1,13,13,18,13,14,18,10,11,14,16,13,18,14,11,3,13,20,14,11,14,12,18,21,3,21,7,14,14,13,3,11,21,14,20,AT2019cxt
2,11,2,20,20,3,11,18,21,5,23,19,5,1,19,11,12,16,22,8,1,5,23,18,11,2,2,17,4,1,20,1,18,19,19,12,10,19,5,18,0,21,20,0,1,3,11,1,12,4,4,14,1,11,1,23,5,17,21,8,20,11,3,20,PS1-10kn
13,13,12,14,14,12,20,14,13,14,3,20,3,3,3,18,14,12,3,10,11,18,18,18,13,3,18,4,4,11,20,13,23,23,11,21,4,18,18,23,23,21,3,3,18,11,14,13,17,22,5,14,20,12,14,23,20,5,21,3,13,1,18,20,ESSENCEm062
1,11,11,1,3,11,23,2,3,1,1,23,19,11,1,11,11,23,11,11,11,11,5,1,5,3,18,4,4,2,11,23,11,2,18,10,4,18,11,11,20,11,11,11,18,19,11,1,23,18,1,11,2,3,11,3,11,3,11,5,5,20,1,5,SN2018adf
2,8,0,8,8,8,16,8,8,8,8,1,11,2,6,8,2,6,11,13,20,1,6,8,0,8,10,4,4,10,6,1,8,8,21,7,4,21,8,0,8,0,21,7,10,1,0,0,8,8,2,11,18,8,8,8,8,0,6,8,8,8,6,8,SN2016afk
2,8,18,11,18,1,5,2,14,8,11,2,8,2,8,8,11,2,2,1,16,23,18,2,18,18,23,4,4,22,21,14,12,18,20,7,4,23,18,11,2,21,18,23,2,2,2,18,8,19,17,21,1,1,2,11,8,2,8,5,20,12,2,1,PTF10raj
16,20,12,11,21,11,13,13,21,21,3,11,23,20,14,21,23,18,11,18,21,20,14,14,13,3,21,22,22,10,3,14,13,13,3,7,7,21,20,18,11,23,20,18,18,3,18,1,13,21,23,18,11,23,21,21,14,18,14,3,21,3,14,18,SNLS-07D1ci
20,13,18,12,13,10,3,13,12,18,11,18,23,13,21,3,14,19,14,10,21,3,20,13,3,18,16,22,22,10,20,14,18,20,14,10,22,23,11,20,13,3,3,14,14,3,14,23,14,11,21,23,23,12,20,20,12,12,14,23,23,12,18,13,SDSS-IISN9558
19,19,8,19,2,8,8,2,19,19,19,19,9,19,5,5,19,2,6,6,18,21,21,19,19,6,8,4,4,22,19,0,8,19,7,7,7,8,8,19,19,12,13,11,6,19,0,19,11,19,8,8,8,8,0,19,19,8,11,8,19,19,19,2,ASASSN-14cb
23,18,12,11,20,20,3,3,3,23,20,11,20,5,23,20,11,18,2,16,21,11,14,3,12,1,10,22,22,7,10,21,13,10,10,22,22,21,14,20,20,5,14,23,11,19,11,20,18,5,11,23,18,13,20,13,20,12,11,13,5,11,23,11,SDSS-IISN1662
5,10,7,11,5,5,5,1,20,19,20,5,5,19,15,20,5,5,5,11,18,11,5,20,11,5,2,22,22,11,19,5,5,5,2,23,4,11,19,5,20,5,5,23,18,11,5,5,5,5,5,5,19,15,5,5,11,5,5,20,20,5,20,20,PSc530115
21,13,12,11,12,5,12,13,12,3,14,14,21,21,12,13,23,3,3,11,14,14,3,14,21,21,3,10,7,5,18,13,18,14,13,21,21,20,21,5,20,14,14,11,14,18,13,12,12,14,20,14,21,21,11,14,3,16,12,14,23,18,13,21,SDSS-IISN17909
11,5,19,19,20,1,1,20,5,20,5,20,5,19,5,5,18,5,19,18,12,20,5,5,11,19,12,4,4,10,5,5,20,5,20,12,4,18,19,1,5,5,5,18,20,20,5,5,18,1,19,5,19,15,5,5,13,5,20,14,3,3,11,20,SN2006kj
9,6,6,19,11,11,19,6,9,0,11,14,16,18,11,9,9,2,11,21,7,18,11,6,6,11,21,4,4,7,18,6,6,11,18,7,4,10,11,6,9,11,18,21,10,18,11,9,9,1,14,14,14,11,19,9,9,0,1,1,19,6,9,9,SN2008ey
9,9,9,9,9,9,9,9,9,6,19,1,1,11,1,6,6,11,3,13,21,14,18,0,0,14,21,4,4,7,14,19,0,14,21,7,4,7,14,0,6,3,18,21,10,3,11,6,6,19,19,11,1,19,0,9,9,9,9,9,9,9,9,9,SN2018hls
18,21,21,17,21,11,5,15,14,10,21,21,21,18,5,15,3,21,10,21,21,14,23,15,5,21,21,10,7,18,18,3,20,21,21,10,10,21,16,11,5,11,14,21,21,21,16,1,19,5,3,21,21,21,18,18,15,5,0,20,21,18,18,14,SN2008fb
18,14,13,13,14,20,12,18,3,13,21,23,3,18,3,23,14,14,3,11,18,2,14,18,18,21,11,4,4,23,14,14,12,5,16,5,7,11,11,13,20,16,22,7,5,3,3,18,21,23,16,2,11,13,2,18,12,20,14,13,12,21,13,13,SN2017ito
8,8,8,6,6,8,8,8,8,6,6,4,16,9,6,8,8,11,2,17,11,2,6,6,11,16,16,10,7,7,16,11,8,16,16,16,16,16,16,11,6,6,8,11,2,11,2,8,8,6,6,6,6,6,6,6,8,8,8,8,8,8,6,8,SN2006hq
10,18,18,14,21,21,23,10,12,18,21,18,12,18,20,17,13,3,18,14,18,12,3,7,18,21,3,16,7,20,21,17,18,21,13,21,21,11,5,18,21,14,11,18,20,18,3,21,14,21,13,20,13,18,18,14,21,13,23,13,21,13,18,14,PSc061191
20,12,11,2,22,22,2,11,20,12,17,12,2,8,5,5,5,20,12,7,16,19,20,1,1,19,20,4,4,11,0,11,5,5,5,10,4,7,5,5,3,1,5,19,17,21,20,5,19,3,5,19,5,13,20,19,5,20,5,19,5,5,11,20,iPTF13dyu
0,1,13,6,0,9,0,9,0,1,21,21,8,6,6,6,0,3,3,11,1,11,6,9,9,1,1,4,4,5,1,6,9,1,19,21,4,1,3,9,9,6,5,11,23,1,1,6,9,9,6,19,13,3,3,6,0,6,9,9,19,0,19,0,SN2008gq
5,11,19,11,11,11,1,20,11,5,2,19,5,19,19,1,11,5,2,6,19,19,1,5,11,19,11,4,4,18,19,11,20,19,19,20,7,19,19,1,2,5,19,8,19,15,19,11,11,5,19,5,2,19,5,16,20,19,1,23,22,16,11,5,SN2006ib
3,20,13,10,16,11,3,3,12,18,12,18,13,18,11,13,2,13,21,21,21,21,3,12,18,20,10,10,10,16,21,11,10,21,10,10,21,13,12,5,20,12,16,21,10,11,11,18,23,18,18,3,21,11,18,14,11,18,18,23,14,16,16,11,SN2017eck
11,20,10,14,5,5,20,3,3,20,10,10,11,18,1,19,20,1,21,4,14,1,20,13,11,1,13,4,4,19,19,19,5,3,0,7,4,10,22,16,5,3,3,23,7,10,16,5,3,3,1,3,14,10,18,5,5,1,5,19,18,12,18,1,PS15ajp
12,1,12,3,20,12,11,18,11,18,13,23,23,18,14,18,13,18,20,11,13,21,21,18,13,12,23,22,22,1,18,23,18,20,3,13,22,3,18,12,12,3,12,11,3,20,3,3,20,12,20,12,12,11,21,20,14,14,21,20,20,20,5,12,SN2006jy
23,11,2,11,11,19,2,11,11,11,19,20,1,11,19,5,19,5,18,12,7,14,23,11,18,1,20,4,4,10,8,11,11,0,20,4,4,13,19,23,11,20,2,21,17,11,1,19,18,2,19,8,2,19,5,11,1,20,1,20,11,23,1,3,SN2008dj
20,18,3,12,11,14,13,13,21,16,11,12,11,14,14,3,18,5,13,18,21,18,11,13,23,18,3,22,22,14,13,5,14,18,3,17,4,14,18,3,13,3,20,20,16,13,21,18,21,20,18,12,23,3,13,3,14,13,20,11,18,14,14,13,SN2017ivg
8,6,6,6,6,6,6,8,6,0,19,19,1,1,8,0,0,19,0,13,13,1,19,0,0,19,13,4,4,13,19,0,0,19,3,7,4,3,1,0,0,19,1,3,13,1,19,0,8,19,19,19,19,0,6,8,6,6,6,6,6,6,6,8,CSS130317:082848+293031
23,21,5,3,3,1,11,21,5,20,18,21,14,14,11,11,3,21,13,21,10,21,14,23,3,10,21,22,22,10,14,12,23,3,3,7,22,10,21,3,18,14,14,21,10,13,14,3,3,3,14,13,21,3,18,23,5,3,20,11,13,18,11,11,SN2017bem
9,6,9,6,9,6,0,15,9,6,0,0,6,9,6,9,6,19,12,11,2,0,0,6,6,11,14,4,4,14,19,6,6,0,11,14,4,14,18,9,6,0,0,0,1,20,19,9,6,0,0,19,0,19,19,9,9,9,9,6,6,6,9,9,SN1992am
14,18,12,3,3,21,20,21,11,21,13,23,21,22,3,13,14,18,23,13,2,23,20,14,23,20,13,18,21,5,14,12,14,13,11,21,14,20,12,14,21,21,14,5,14,3,16,3,18,1,13,11,12,14,23,12,21,13,21,13,23,13,18,12,SDSS-IISN4054
23,1,1,1,1,1,18,12,3,3,5,2,20,12,17,17,23,23,6,17,4,7,17,12,23,19,4,4,4,4,12,2,19,18,7,4,4,18,1,1,5,17,7,7,11,15,3,11,5,17,5,1,1,5,23,19,12,17,3,1,1,5,3,1,SDSS-IISN10928
13,13,23,14,14,12,14,18,16,20,18,12,18,3,14,21,21,13,23,12,23,1,18,23,14,14,20,10,7,18,23,12,21,20,18,20,10,23,3,13,20,20,18,23,21,12,13,14,13,18,20,18,18,21,5,14,21,12,18,12,18,14,13,21,SN2019nrl
21,19,5,5,15,5,5,5,4,19,15,15,5,5,15,5,10,6,15,15,11,5,15,12,19,5,15,16,7,20,15,19,5,5,20,23,21,0,15,15,5,15,5,20,19,15,15,15,5,15,19,15,15,12,5,15,5,5,5,5,19,5,19,5,PSNMACSJ1115.2+5320
13,12,20,14,20,14,14,18,12,12,14,14,18,23,12,20,14,13,13,20,1,23,3,21,21,13,3,21,10,23,12,11,18,11,20,16,14,20,21,18,18,13,3,14,18,13,14,18,13,3,14,13,23,13,12,18,12,12,13,14,21,13,18,18,DES14S1lfk
20,5,13,5,1,20,1,18,3,20,1,5,20,5,3,5,20,11,1,11,11,18,2,5,11,19,5,4,4,11,20,20,20,5,11,16,7,19,11,5,18,20,20,11,18,20,5,5,20,5,1,3,5,5,5,18,3,1,5,5,12,2,3,5,SDSS-IISN15850
18,13,14,12,13,14,13,12,23,20,13,14,23,13,12,12,18,13,20,18,11,18,11,13,16,21,3,22,22,11,18,18,13,23,23,16,4,18,3,18,18,23,20,11,3,18,11,14,21,18,21,18,20,21,12,13,18,14,14,3,12,23,20,13,PSc480198
21,18,14,21,12,12,17,21,18,18,14,20,18,21,12,16,12,21,21,5,3,18,18,21,13,14,11,10,4,20,18,12,12,14,18,20,18,18,18,14,18,18,21,18,16,13,17,21,13,21,19,18,21,20,23,11,21,13,14,21,10,18,21,18,SDSS-IISN6657
14,3,18,3,14,7,14,18,14,13,18,1,7,10,3,11,11,13,2,21,4,10,1,18,3,21,19,7,4,14,20,3,13,7,14,4,4,1,23,13,11,3,13,4,21,20,14,20,20,11,10,7,3,11,14,23,11,14,13,14,3,13,3,11,SN2019uee
11,20,18,13,23,18,14,12,18,13,23,23,20,3,20,18,20,3,11,1,11,18,23,20,14,3,11,18,10,19,12,2,12,11,11,12,13,11,3,13,13,3,13,3,3,11,13,20,13,3,14,2,14,13,11,11,21,4,4,7,3,11,21,11,SDSS-IISN20627
12,13,12,13,18,16,13,14,14,13,12,3,13,10,23,20,13,14,20,14,14,11,3,13,14,3,23,17,7,5,14,21,13,13,3,20,12,18,20,14,18,13,14,1,14,20,14,21,3,3,14,14,18,3,21,14,12,12,23,18,21,13,12,13,SDSS-IISN21539
2,2,23,2,11,2,23,2,11,23,2,1,23,1,2,23,11,11,23,0,1,1,2,1,23,2,8,4,4,19,11,2,1,2,19,17,7,2,2,23,23,2,2,2,2,11,1,2,2,11,23,2,2,11,11,23,23,2,11,23,23,2,2,23,PS1-10if
21,11,12,18,20,11,13,18,12,11,3,11,14,23,12,12,14,20,5,16,22,21,11,11,20,3,16,22,22,21,1,18,20,23,16,22,22,14,10,18,18,20,3,10,14,14,18,12,18,13,18,11,3,3,3,3,20,18,18,3,11,20,18,12,SDSS-IISN3049
3,3,3,3,2,23,13,1,2,2,1,19,13,17,21,13,3,11,1,14,4,10,12,18,1,12,3,4,22,7,12,12,1,21,21,4,7,20,12,13,18,17,7,7,16,22,5,5,3,11,12,2,16,21,19,23,1,23,23,5,20,11,3,15,SN2018dyh
11,5,3,11,11,11,23,11,11,11,2,2,19,2,11,11,11,2,19,21,14,1,1,11,5,1,18,4,4,18,1,11,11,1,3,7,4,10,11,11,3,2,19,11,18,2,5,5,2,11,3,16,2,19,23,23,11,20,11,2,11,20,1,11,SN2016fca
12,21,18,20,21,16,18,21,18,20,18,13,14,14,18,14,18,13,12,12,20,1,12,21,18,14,23,17,7,11,18,18,12,17,3,20,11,13,21,18,13,14,18,18,21,12,20,21,13,18,12,21,3,18,12,23,10,18,12,18,12,21,18,21,SN2006hf
9,6,0,0,0,19,15,15,20,12,12,12,18,11,5,15,17,5,18,11,11,18,10,3,5,7,16,22,22,16,10,21,3,10,23,10,4,10,18,12,5,21,21,12,20,20,17,5,5,15,12,17,12,12,19,6,0,9,6,0,6,6,6,6,SN2008fu
2,23,1,11,1,11,1,2,11,18,11,14,10,13,3,19,23,13,21,7,7,22,20,3,11,13,7,22,22,22,10,1,11,21,7,4,22,7,12,13,3,20,21,10,7,10,13,2,12,18,20,13,3,13,3,2,19,5,14,11,11,19,1,2,SN2017itx
20,20,11,20,20,11,3,5,18,20,5,5,1,2,20,5,11,5,20,14,1,20,11,11,11,5,13,22,22,23,5,11,18,5,3,14,22,20,3,11,20,20,20,11,5,12,11,20,3,11,3,12,19,19,19,11,20,1,5,17,1,3,20,20,SDSS-IISN20141
6,6,6,9,6,6,9,9,9,6,0,11,8,6,6,9,9,6,19,21,18,6,6,6,9,6,19,4,4,1,6,6,9,6,6,13,4,3,6,6,9,6,6,19,21,11,6,9,9,6,6,6,19,8,6,9,9,9,6,6,9,9,6,9,SN2017ebo
3,3,14,14,23,3,1,23,21,14,21,20,23,13,13,13,21,21,12,13,3,14,23,14,21,13,5,12,17,2,23,23,12,12,14,17,17,18,1,23,12,10,3,23,5,14,11,3,12,17,20,3,18,23,12,14,12,17,7,3,18,11,21,13,SN2008en
9,6,9,9,9,9,9,9,9,8,1,19,6,9,9,9,9,0,3,14,1,6,9,9,9,6,1,4,4,19,9,9,9,9,8,14,4,14,6,9,9,9,6,8,14,11,19,9,9,9,9,9,0,1,8,9,9,9,9,9,9,9,9,6,ASASSN-14cu
23,2,11,2,1,2,2,2,23,2,2,3,11,1,2,11,11,1,11,5,5,5,1,2,23,2,5,4,4,20,5,2,23,2,18,17,7,5,23,2,3,2,1,20,12,12,2,23,18,2,2,2,8,2,2,2,18,19,11,1,11,11,1,11,PSc500001
23,20,3,14,20,13,3,3,3,23,21,21,11,12,18,23,13,3,17,10,14,12,11,3,3,18,12,10,10,12,14,23,22,11,13,10,17,21,18,23,16,10,21,13,20,18,23,3,5,14,11,3,23,14,11,14,18,3,20,14,5,23,23,13,SN2019ro
0,9,6,9,9,9,9,9,14,2,0,6,0,6,9,9,3,14,23,23,6,6,0,9,6,3,10,4,4,2,6,6,9,0,20,10,4,10,23,6,9,6,6,19,21,13,21,23,9,9,6,6,6,19,3,14,9,9,9,9,9,9,6,0,SN2006ev
18,18,11,11,20,14,18,20,3,5,23,21,18,3,3,18,18,18,14,21,17,21,11,18,3,13,14,22,22,21,13,3,18,11,21,7,22,13,14,5,18,11,21,13,14,21,23,20,3,18,10,20,21,3,11,20,23,11,11,23,18,14,3,11,SN2006fm
2,2,2,4,1,2,23,11,2,2,20,4,23,8,2,2,2,2,8,8,23,2,8,23,2,11,8,10,10,8,2,23,23,19,2,16,10,8,2,11,2,19,2,18,2,2,19,2,23,19,2,19,8,19,2,2,2,2,2,1,2,23,2,2,SN2019qt
1,0,0,6,0,6,6,8,10,20,20,5,0,8,0,6,4,4,10,7,12,0,19,6,7,4,22,4,4,4,18,19,15,12,16,7,4,7,4,18,0,19,5,11,16,16,10,7,6,8,0,19,5,20,21,7,8,6,8,6,6,0,6,5,iPTF13akc
19,1,1,8,11,5,18,11,1,19,0,11,7,18,16,11,1,1,19,7,4,4,11,19,1,0,18,4,4,10,2,0,19,0,7,4,4,16,19,1,2,11,12,4,7,19,19,19,23,23,20,21,2,1,8,1,19,19,19,2,0,19,1,19,LSQ14ayn
6,12,6,19,18,5,5,9,6,21,23,16,10,18,18,6,11,18,16,17,7,10,16,1,8,16,17,4,4,7,7,23,8,16,7,7,4,7,7,2,8,16,10,7,7,10,18,6,6,21,18,10,16,21,18,20,9,19,20,20,20,20,0,9,SN2001cp
13,14,3,18,13,18,14,20,23,12,13,3,1,3,11,18,12,23,11,14,10,10,13,18,13,18,3,22,22,4,14,11,11,16,7,4,4,3,5,13,3,12,10,12,3,18,14,23,11,3,3,2,14,11,3,20,18,18,14,14,18,21,13,14,SN2012ae
20,12,1,3,20,19,16,22,5,15,5,20,20,11,5,11,18,12,14,11,8,19,11,11,5,10,22,22,22,16,5,19,3,19,0,23,7,7,10,21,13,5,20,19,0,1,5,20,12,3,20,20,3,20,5,3,20,11,20,3,5,11,20,3,SDSS-IISN18353
11,5,20,5,5,20,20,5,12,5,20,5,5,5,20,5,15,5,5,11,23,21,21,19,20,5,23,22,22,23,5,5,20,5,23,23,4,11,11,20,5,5,18,23,18,11,19,20,20,5,5,20,19,5,5,5,5,18,20,5,3,5,12,11,PSc480173
1,23,1,23,20,3,1,3,5,3,3,3,10,18,18,3,15,13,14,10,22,10,18,23,13,13,21,22,7,7,21,11,3,13,10,22,22,7,18,18,20,13,10,4,7,14,3,23,3,20,3,3,3,3,15,13,23,1,3,3,5,3,23,3,PS15yo
21,13,18,13,13,10,5,13,12,20,18,14,14,18,11,18,14,20,13,18,5,18,14,12,14,18,3,10,10,5,14,18,3,10,3,3,7,3,14,14,3,14,20,3,14,12,18,13,16,13,3,18,18,21,5,13,13,18,21,13,12,3,16,18,DES14X3ftq
