FeatureIndex_1,FeatureIndex_2,FeatureIndex_3,FeatureIndex_4,FeatureIndex_5,FeatureIndex_6,FeatureIndex_7,FeatureIndex_8,FeatureIndex_9,FeatureIndex_10,FeatureIndex_11,FeatureIndex_12,FeatureIndex_13,FeatureIndex_14,FeatureIndex_15,FeatureIndex_16,FeatureIndex_17,FeatureIndex_18,FeatureIndex_19,FeatureIndex_20,FeatureIndex_21,FeatureIndex_22,FeatureIndex_23,FeatureIndex_24,FeatureIndex_25,FeatureIndex_26,FeatureIndex_27,FeatureIndex_28,FeatureIndex_29,FeatureIndex_30,FeatureIndex_31,FeatureIndex_32,FeatureIndex_33,FeatureIndex_34,FeatureIndex_35,FeatureIndex_36,FeatureIndex_37,FeatureIndex_38,FeatureIndex_39,FeatureIndex_40,FeatureIndex_41,FeatureIndex_42,FeatureIndex_43,FeatureIndex_44,FeatureIndex_45,FeatureIndex_46,FeatureIndex_47,FeatureIndex_48,FeatureIndex_49,FeatureIndex_50,FeatureIndex_51,FeatureIndex_52,FeatureIndex_53,FeatureIndex_54,FeatureIndex_55,FeatureIndex_56,FeatureIndex_57,FeatureIndex_58,FeatureIndex_59,FeatureIndex_60,FeatureIndex_61,FeatureIndex_62,FeatureIndex_63,FeatureIndex_64,TransientName
12,14,12,13,18,21,13,12,18,18,14,14,14,3,3,11,21,23,14,3,3,14,13,21,21,12,3,10,22,18,3,14,11,12,12,18,14,21,18,14,3,13,14,5,13,20,3,14,12,23,20,14,18,13,18,20,12,18,16,18,12,11,20,12,SDSS-IISN5819
4,4,4,4,4,4,4,4,10,10,10,7,7,7,22,4,18,18,16,18,16,16,16,7,14,18,18,16,16,21,10,7,3,20,3,17,10,12,21,10,1,1,1,3,3,13,20,12,8,1,8,1,23,3,3,13,6,9,6,6,0,1,6,3,SN1989M
18,3,3,13,18,18,20,18,18,14,14,18,14,14,13,14,23,13,5,23,18,20,14,21,14,13,23,22,22,23,20,12,21,11,3,7,4,1,20,12,18,14,12,11,1,12,18,21,14,14,13,14,11,14,3,23,13,18,14,11,12,18,13,3,SDSS-IISN15303
20,14,18,3,20,14,23,23,18,13,23,23,14,11,23,21,23,13,12,13,1,11,14,14,12,21,12,17,4,13,23,11,10,12,17,17,17,13,13,23,23,14,21,14,21,13,18,23,21,5,18,11,12,13,21,1,11,18,11,21,14,3,3,14,SN1964E
18,23,20,12,5,11,18,11,5,5,11,5,20,23,20,1,18,20,5,10,3,11,23,18,5,3,14,22,22,3,20,5,18,20,3,11,4,23,20,11,20,3,18,11,18,19,11,20,11,12,5,20,20,3,12,1,12,20,18,5,20,20,2,12,SDSS-IISN13772
17,7,20,5,19,6,6,0,0,10,7,18,0,6,0,6,6,5,7,7,17,5,6,6,6,6,12,4,4,12,15,6,0,0,6,7,4,7,12,6,0,0,6,6,17,7,17,5,19,0,0,0,0,12,10,12,0,6,0,19,6,6,12,7,SN1988I
18,11,3,13,11,23,18,14,13,16,14,23,11,18,11,18,18,23,23,1,11,1,11,11,23,23,20,4,4,13,23,18,3,14,5,17,4,23,18,18,18,2,11,1,11,3,23,18,14,18,23,18,23,18,3,2,23,14,11,3,23,14,18,18,PTF12dst
2,19,19,19,0,7,4,8,2,0,8,19,19,6,6,19,2,19,19,2,8,19,8,2,2,19,0,7,7,8,8,19,19,19,8,8,7,2,8,19,19,19,0,8,2,2,19,19,2,0,19,8,8,19,19,19,2,2,8,19,19,0,19,2,SDSS-IISN14009
9,6,6,9,9,6,9,9,6,15,15,5,1,19,6,0,0,3,20,13,21,1,3,3,15,3,21,4,4,10,13,5,15,3,13,7,4,10,3,0,0,1,19,23,21,3,1,15,9,19,19,19,15,0,6,0,9,9,9,9,6,6,9,6,SN1965A
18,18,3,20,5,11,11,20,3,19,20,3,5,20,11,13,23,3,11,21,10,11,19,11,20,11,21,22,22,21,18,18,20,5,16,22,4,18,5,20,2,12,5,14,21,19,13,18,11,20,19,20,21,12,5,3,3,20,23,5,17,18,5,5,PTF12fkp
